LastName_FirstName, FirstName_LastName, Birthplace_AL, Longitude, Latitude
"CRAVNER, MARIE ALDRICH"," ""MARIE ALDRICH CRAVNER""", Morris,33.7479,-86.6742
"ERNST, MORRIS LEOPOLD"," ""MORRIS LEOPOLD ERNST""", Union,32.9368,-87.5122
"GATCHELL, DANA KING"," ""DANA KING GATCHELL""", Selma,32.4074,-87.0211
"JONES, WALTER BURGWYN"," ""WALTER BURGWYN JONES""", Montgomery,32.3792,-86.3077
"KROLL, HARRY HARRISON"," ""HARRY HARRISON KROLL""", Marengo County,32.2621,-87.6879
"LAZARUS, SIDNEY P."," ""SIDNEY P. LAZARUS""", Birmingham,33.5186,-86.8104
"McCORD, HOWARD FURMAN"," ""HOWARD FURMAN McCORD""", Calera,33.1029,-86.7536
"WOOD, CLEMENT RICHARDSON"," ""CLEMENT RICHARDSON WOOD""", Tuscaloosa,33.2098,-87.5692
"WOODRUFF, HELEN SMITH"," ""HELEN SMITH WOODRUFF""", Selma,32.4074,-87.0211
"DURHAM, FRANCES GILDART RUFFIN"," ""FRANCES GILDART RUFFIN DURHAM""", Mobile,30.6954,-88.0399
"GAITHER, FRANCES ORMOND JONES"," ""FRANCES ORMOND JONES GAITHER""", Somerville,34.4718,-86.7986
"GARBER, JAMES R."," ""JAMES R. GARBER""", Eva,34.3243,-86.7458
"KIRK, MARY WALLACE"," ""MARY WALLACE KIRK""", Tuscumbia,34.7318,-87.7022
"LESTER, ROBERT McDONALD"," ""ROBERT McDONALD LESTER""", Centre,34.1523,-85.6783
"SELLERS, JAMES BENSON"," ""JAMES BENSON SELLERS""", Camden,31.9904,-87.2908
"WALLER, GEORGE PLATT"," ""GEORGE PLATT WALLER""", Montgomery,32.3792,-86.3077
"ABERNETHY, THOMAS PERKINS"," ""THOMAS PERKINS ABERNETHY""", Lowndes County,32.2492,-86.6501
"BETTS, EDWARD CHAMBERS"," ""EDWARD CHAMBERS BETTS""", Huntsville,34.7304,-86.5861
"BLACKFORD, RANDOLPH FAIRFAX"," ""RANDOLPH FAIRFAX BLACKFORD""", Black,31.0118,-85.7436
"BRANYON, EDGAR WATTERSON"," ""EDGAR WATTERSON BRANYON""", Kennedy,33.5801,-87.9836
"COWART, RALPH WALDO"," ""RALPH WALDO COWART""", Luverne,31.7168,-86.2633
"DAVIS, POSEY OLIVER"," ""POSEY OLIVER DAVIS""", Athens,34.8029,-86.9717
"GROSS, BEN SAMUEL"," ""BEN SAMUEL GROSS""", Birmingham,33.5186,-86.8104
"KILPATRICK, EMMETT"," ""EMMETT KILPATRICK""", Camden,31.9904,-87.2908
"LIDE, ALICE ALISON"," ""ALICE ALISON LIDE""", Eva,34.3243,-86.7458
"McGINTY, BASIL BEASLEY"," ""BASIL BEASLEY McGINTY""", Riverview,31.0482,-87.0558
"OWSLEY, FRANK LAWRENCE"," ""FRANK LAWRENCE OWSLEY""", Montgomery,32.3792,-86.3077
"PIERSON, WILLIAM WHATLEY"," ""WILLIAM WHATLEY PIERSON""", Brundidge,31.7201,-85.8164
"RAY, LOUISE CRENSHAW"," ""LOUISE CRENSHAW RAY""", Butler,32.0899,-88.2211
"SPENCER, WILLIAM MICAJAH JR."," ""WILLIAM MICAJAH SPENCER JR.""", Steele,33.9379,-86.1992
"STECKEL, MINNIE LOUISE"," ""MINNIE LOUISE STECKEL""", Kansas,33.8993,-87.5558
"TEN HOOR, MARTEN"," ""MARTEN TEN HOOR""", Opp,31.2829,-86.2558
"ALEXANDER, TRUMAN HUDSON"," ""TRUMAN HUDSON ALEXANDER""", Birmingham,33.5186,-86.8104
"ALLISON, ELIZABETH HARRIET KELLY"," ""ELIZABETH HARRIET KELLY ALLISON""", Washington County,31.3939,-88.2098
"BANDMAN, LOTTIE COPLAN"," ""LOTTIE COPLAN BANDMAN""", Florence,34.7998,-87.6773
"BEAN, WILLIAM GLEASON"," ""WILLIAM GLEASON BEAN""", Heflin,33.6482,-85.5872
"CARMICHAEL, OLIVER CROMWELL"," ""OLIVER CROMWELL CARMICHAEL""", Goodwater,33.0635,-86.0536
"FARMER, HALLIE"," ""HALLIE FARMER""", Anderson,34.9181,-87.2708
"HARRIS, JULIA MAY"," ""JULIA MAY HARRIS""", Russellville,34.5079,-87.7286
"MARTIN, BESSIE"," ""BESSIE MARTIN""", Gordo,33.3218,-87.9036
"MATHEWS, MITFORD McLEOD"," ""MITFORD McLEOD MATHEWS""", Jackson,31.5082,-87.8942
"PALMER, THOMAS WAVERLY JR."," ""THOMAS WAVERLY PALMER JR.""",Tuscaloosa,33.2098,-87.5692
"PATRICK, LUTHER"," ""LUTHER PATRICK""", Morgan County,34.4667,-86.8569
"PENNINGTON, EDGAR LEGARE"," ""EDGAR LEGARE PENNINGTON""", Madison,34.6993,-86.7483
"RYAN, HARRIET FITTS"," ""HARRIET FITTS RYAN""", Tuscaloosa,33.2098,-87.5692
"SMITH, CHARLES BUNYAN"," ""CHARLES BUNYAN SMITH""", Eva,34.3243,-86.7458
"VANCE, HENRY CLAY"," ""HENRY CLAY VANCE""", Jasper,33.8318,-87.2775
"VAUGHAN, GEORGE LESTER"," ""GEORGE LESTER VAUGHAN""", Anderson,34.9181,-87.2708
"COLEMAN, ELIZABETH TYLER"," ""ELIZABETH TYLER COLEMAN""", Montgomery,32.3792,-86.3077
"DEAN, BLANCHE EVANS"," ""BLANCHE EVANS DEAN""", Clay,33.7029,-86.6236
"GASTON, ARTHUR GEORGE"," ""ARTHUR GEORGE GASTON""", Creola,30.8935,-88.0172
"LEEK, CHARLES FRANKLIN"," ""CHARLES FRANKLIN LEEK""", Franklin,31.7143,-85.8472
"SHILLITO, MARTHA LYMAN"," ""MARTHA LYMAN SHILLITO""", Birmingham,33.5186,-86.8104
"SMITH, ESTELLE SCROGGINS"," ""ESTELLE SCROGGINS SMITH""", Columbia,31.2929,-85.1114
"THOMPSON, LUCILLE KEY"," ""LUCILLE KEY THOMPSON""", Troy,31.8088,-85.9699
"BECK, MARTIN LUTHER"," ""MARTIN LUTHER BECK""", Anderson,34.9181,-87.2708
"BELSER, DANYLU"," ""DANYLU BELSER""", Montgomery,32.3792,-86.3077
"CAMPBELL, WILLIAM EDWARD MARCH"," ""WILLIAM EDWARD MARCH CAMPBELL""", Mobile,30.6954,-88.0399
"CONWELL, HUGH EARLE"," ""HUGH EARLE CONWELL""", Oakman,33.7135,-87.3886
"CUMMING, JOHN PALMER"," ""JOHN PALMER CUMMING""", Birmingham,33.5186,-86.8104
"DOUGLASS, HIRAM KENNEDY"," ""HIRAM KENNEDY DOUGLASS""", Douglas,34.1729,-86.3186
"LEWIS, KATE PORTER"," ""KATE PORTER LEWIS""", Greenville,31.8293,-86.6172
"PIKE, FLORA MAE MILNER"," ""FLORA MAE MILNER PIKE""", Tallapoosa County,32.8131,-85.7851
"YELVERTON, LOIS"," ""LOIS YELVERTON""", Ozark,31.459,-85.64
"BLAKELY, HUNTER BRYSON"," ""HUNTER BRYSON BLAKELY""", Carolina,31.2401,-86.3147
"BRANSCOMB, BENNETT HARVIE"," ""BENNETT HARVIE BRANSCOMB""", Huntsville,34.7304,-86.5861
"COLEMAN, JOHN SHIELDS"," ""JOHN SHIELDS COLEMAN""", Jasper,33.8318,-87.2775
"JENKINS, NELLIE MORRIS"," ""NELLIE MORRIS JENKINS""", Morris,33.7479,-86.6742
"PENDELL, ELMER"," ""ELMER PENDELL""", Waverly,32.7332,-85.5747
"BARNETT, ALBERT EDWARD JR."," ""ALBERT EDWARD BARNETT JR.""", Opelika,32.6454,-85.3783
"BLISS, LORETTA ANN DEERING"," ""LORETTA ANN DEERING BLISS""", York,32.4865,-88.2939
"COOK, FESTUS MALACHI"," ""FESTUS MALACHI COOK""", Birmingham,33.5186,-86.8104
"GANN, JOSHUA ARTHUR"," ""JOSHUA ARTHUR GANN""", Hackleburg,34.2768,-87.8286
"KIRBY, LELIAS EUGENE"," ""LELIAS EUGENE KIRBY""", Etowah County,34.0459,-86.0402
"MASON, AUGUST HOWARD"," ""AUGUST HOWARD MASON""", Franklin,31.7143,-85.8472
"PENICK, LADIE AVERETTE FONVILLE"," ""LADIE AVERETTE FONVILLE PENICK""", Tuskegee,32.4301,-85.7072
"WHITAKER, ARTHUR PRESTON"," ""ARTHUR PRESTON WHITAKER""", Tuscaloosa,33.2098,-87.5692
"BARNETT, CORA CHASTANG"," ""CORA CHASTANG BARNETT""", Citronelle,31.0901,-88.2286
"BUSH, ANNIE LOUISE RYDER"," ""ANNIE LOUISE RYDER BUSH""", Childersburg,33.2782,-86.3547
"FIGH, MARGARET GILLIS"," ""MARGARET GILLIS FIGH""", Brewton,31.1054,-87.0722
"GAYLE, WILLIAM ARMISTEAD JR."," ""WILLIAM ARMISTEAD GAYLE JR.""", Anderson,34.9181,-87.2708
"LUTTRELL, CAROLYN LANE"," ""CAROLYN LANE LUTTRELL""", Sylacauga,33.1732,-86.2503
"SAVELLE, MAXWELL"," ""MAXWELL SAVELLE""", Mobile,30.6954,-88.0399
"SHANKS, HENRY THOMAS"," ""HENRY THOMAS SHANKS""", Taylor,31.1682,-85.4686
"STANFIELD, MATTIE COLE"," ""MATTIE COLE STANFIELD""", Ashville,33.8357,-86.2561
"TATE, ALBERTA HINDS"," ""ALBERTA HINDS TATE""", Albertville,34.2676,-86.2089
"WATSON, BAMA WATHAN"," ""BAMA WATHAN WATSON""", Georgiana,31.6379,-86.7414
"WYATT, THOMAS EUGENE"," ""THOMAS EUGENE WYATT""", Chilton County,32.9944,-86.7175
"ACTON, HUL-CEE MARCUS"," ""HUL-CEE MARCUS ACTON""", Louisville,31.7835,-85.5558
"AGEE, RUCKER"," ""RUCKER AGEE""", Birmingham,33.5186,-86.8104
"ASKEW, WILLIAM KING"," ""WILLIAM KING ASKEW""", Dayton,32.3382,-87.6372
"BROOKS, OLIVE"," ""OLIVE BROOKS""", Mobile,30.6954,-88.0399
"BUTTERFIELD, MARVIN ELLIS"," ""MARVIN ELLIS BUTTERFIELD""", Eva,34.3243,-86.7458
"CARMICHAEL, JOHN LESLIE"," ""JOHN LESLIE CARMICHAEL""", Goodwater,33.0635,-86.0536
"CARMICHAEL, PETER ARCHIBALD"," ""PETER ARCHIBALD CARMICHAEL""", Anniston,33.6598,-85.8316
"CASH, McKINLEY"," ""McKINLEY CASH""", Lamar County,33.7806,-88.0934
"COLCORD, BRADFORD CLAUDE"," ""BRADFORD CLAUDE COLCORD""", Eva,34.3243,-86.7458
"FARISH, HUNTER DICKINSON"," ""HUNTER DICKINSON FARISH""", Montgomery,32.3792,-86.3077
"GLOVER, CATO DOUGLAS"," ""CATO DOUGLAS GLOVER""", Centre,34.1523,-85.6783
"JAMES, ROBERT LESLIE"," ""ROBERT LESLIE JAMES""", Russellville,34.5079,-87.7286
"KENNAMER, LORRIN GARFIELD"," ""LORRIN GARFIELD KENNAMER""", Marshall County,34.3223,-86.4997
"KRACKE, ROY RACHFORD"," ""ROY RACHFORD KRACKE""", Hartselle,34.4435,-86.9358
"LIDDON, ELOISE"," ""ELOISE LIDDON""", Gordo,33.3218,-87.9036
"McMURRY, MILDRED FRANKLIN DODSON"," ""MILDRED FRANKLIN DODSON McMURRY""", Franklin,31.7143,-85.8472
"MIXSON, JOHN LESLIE"," ""JOHN LESLIE MIXSON""", Coffee County,31.4055,-85.9891
"PANNELL, HENRY CLIFTON"," ""HENRY CLIFTON PANNELL""", Elmore,32.5382,-86.3158
"WALKER, STELLA HARRIS"," ""STELLA HARRIS WALKER""", Marion,32.6329,-87.3192
"ADAMS, HENRY WELCH"," ""HENRY WELCH ADAMS""", Columbia,31.2929,-85.1114
"BOWEN, ROBERT A."," ""ROBERT A. BOWEN""", Dothan,31.2232,-85.3905
"BRANTLEY, WILLIAM HENDERSON JR."," ""WILLIAM HENDERSON BRANTLEY JR.""", Brantley,31.5843,-86.2586
"BROWN, LOU"," ""LOU BROWN""", Opp,31.2829,-86.2558
"CLINTON, MATTHEW WILLIAM"," ""MATTHEW WILLIAM CLINTON""", Black,31.0118,-85.7436
"JACKSON, WALTER MAHAN"," ""WALTER MAHAN JACKSON""", Jackson,31.5082,-87.8942
"KENNEDY, WALTER WALLACE"," ""WALTER WALLACE KENNEDY""", Birmingham,33.5186,-86.8104
"LANCASTER, EDWIN BRAGG"," ""EDWIN BRAGG LANCASTER""", York,32.4865,-88.2939
"MERONEY, ELOISE WHITLOW"," ""ELOISE WHITLOW MERONEY""", Eva,34.3243,-86.7458
"MUNRO, IRENE BRINSON"," ""IRENE BRINSON MUNRO""", Carolina,31.2401,-86.3147
"PEARSON, ANLOUISA"," ""ANLOUISA PEARSON""", Autauga County,32.5789,-86.6424
"TAYLOR, HUGH LEE"," ""HUGH LEE TAYLOR""", Taylor,31.1682,-85.4686
"VICKERY, KATHERINE"," ""KATHERINE VICKERY""", Benton,32.3068,-87.2458
"WARD, MARY BEHRENDSEN"," ""MARY BEHRENDSEN WARD""", Selma,32.4074,-87.0211
"WRIGHT, JOHN PEAVEY"," ""JOHN PEAVEY WRIGHT""", Lee County,32.6019,-85.3548
"ANDERSEN, INEZ ELLIOTT"," ""INEZ ELLIOTT ANDERSEN""", Leeds,33.5482,-86.5442
"BEE, FANNA MAI KEES"," ""FANNA MAI KEES BEE""", Florence,34.7998,-87.6773
"COLLINS, HENRY BASCOM"," ""HENRY BASCOM COLLINS""", Eva,34.3243,-86.7458
"DRAUGHON, RALPH BROWN"," ""RALPH BROWN DRAUGHON""", Hartford,31.1029,-85.6964
"GAY, WILLIAM TEAGUE"," ""WILLIAM TEAGUE GAY""", Montgomery,32.3792,-86.3077
"GIBSON, JOHN MENDINGHALL"," ""JOHN MENDINGHALL GIBSON""", Florence,34.7998,-87.6773
"HILL, HOWARD"," ""HOWARD HILL""", Hodges,34.3301,-87.9264
"JAYNES, BESSIE WEBB"," ""BESSIE WEBB JAYNES""", Webb,31.2604,-85.2794
"LEWIS, JOSEPH"," ""JOSEPH LEWIS""", Montgomery,32.3792,-86.3077
"MATTHEWS, JOHN L."," ""JOHN L. MATTHEWS""", Montgomery,32.3792,-86.3077
"MAULDIN, WILLIAM BENJAMIN"," ""WILLIAM BENJAMIN MAULDIN""", Moody,33.5901,-86.4908
"MOSELEY, FRANKLIN SHACKELFORD"," ""FRANKLIN SHACKELFORD MOSELEY""", Franklin,31.7143,-85.8472
"PARTIN, ROBERT LOVE"," ""ROBERT LOVE PARTIN""", Pelham,33.2859,-86.8097
"SPARKMAN, CHELSEA IVO HALL"," ""CHELSEA IVO HALL SPARKMAN""", Albertville,34.2676,-86.2089
"STEVENS, LUCILE VERNON"," ""LUCILE VERNON STEVENS""", Vernon,33.7573,-88.11
"VINES, HOWELL HUBERT"," ""HOWELL HUBERT VINES""", Jefferson County,33.5446,-86.9292
"BAKER, GLADYS"," ""GLADYS BAKER""", Jackson,31.5082,-87.8942
"BRASHER, PHELAN BRIGHT"," ""PHELAN BRIGHT BRASHER""", Decatur,34.6059,-86.9833
"BROWN, WILBURT SCOTT"," ""WILBURT SCOTT BROWN""", Margaret,33.6829,-86.4742
"CANNON, RACHEL-DUKE HAMILTON"," ""RACHEL-DUKE HAMILTON CANNON""", Hamilton,34.1429,-87.9886
"FITZGERALD, ZELDA SAYRE"," ""ZELDA SAYRE FITZGERALD""", Montgomery,32.3792,-86.3077
"HINDS, GLADYS"," ""GLADYS HINDS""", Albertville,34.2676,-86.2089
"McQUEEN, JAMES WILLIAM"," ""JAMES WILLIAM McQUEEN""", Birmingham,33.5186,-86.8104
"RUSHTON, WILLIAM JAMES"," ""WILLIAM JAMES RUSHTON""", Birmingham,33.5186,-86.8104
"SPRATLING, WILLIAM PHILIP JR."," ""WILLIAM PHILIP SPRATLING JR.""", Auburn,32.6099,-85.4808
"TAYLOR, CLEMENT ALLEN"," ""CLEMENT ALLEN TAYLOR""", Taylor,31.1682,-85.4686
"TRENHOLM, HARPER COUNCIL"," ""HARPER COUNCIL TRENHOLM""", Tuscumbia,34.7318,-87.7022
"BURGHARD, AUGUST"," ""AUGUST BURGHARD""", Margaret,33.6829,-86.4742
"CIRLOT, FELIX LOSSING"," ""FELIX LOSSING CIRLOT""", Mobile,30.6954,-88.0399
"COOPER, HERSTON MACAGER"," ""HERSTON MACAGER COOPER""", Birmingham,33.5186,-86.8104
"JACKSON, SIDNEY WARREN SR."," "" SIDNEY WARREN JACKSON SR.""", Dozier,31.4979,-86.3664
"MALLON, RAYMOND PAUL"," ""RAYMOND PAUL MALLON""", Birmingham,33.5186,-86.8104
"McWILLIAMS, RICHEBOURG GAILLARD"," ""RICHEBOURG GAILLARD McWILLIAMS""", Oak Hill,31.9129,-87.3858
"SCHENK, GRETCHEN KNIEF"," ""GRETCHEN KNIEF SCHENK""", Dora,33.7282,-87.0864
"WILLIAMS, IRENE"," ""IRENE WILLIAMS""", Gadsden,34.0143,-86.0066
"WILLIS, MARY FARLEY"," ""MARY FARLEY WILLIS""", Arley,34.0734,-87.2111
"BARTON, VIRGINIA ANN HOOPER"," ""VIRGINIA ANN HOOPER BARTON""", Guntersville,34.3582,-86.2942
"BROADUS, ELEANOR BOYCE"," ""ELEANOR BOYCE BROADUS""", Margaret,33.6829,-86.4742
"ELLIOTT, WILLIAM YOUNG SR."," ""WILLIAM YOUNG ELLIOTT SR.""", Leeds,33.5482,-86.5442
"FORNEY, KATHERINE ELIZA"," ""KATHERINE ELIZA FORNEY""", Birmingham,33.5186,-86.8104
"HALL, EDWIN PRESLEY"," ""EDWIN PRESLEY HALL""", Albertville,34.2676,-86.2089
"KOHN, JOHN PETER JR."," ""JOHN PETER KOHN JR.""", Margaret,33.6829,-86.4742
"LOVETT, ROSE MARIE GIBBONS"," ""ROSE MARIE GIBBONS LOVETT""", Birmingham,33.5186,-86.8104
"LYON, RALPH MUSE"," ""RALPH MUSE LYON""", Abbeville,31.5718,-85.2505
"McDONALD, CLARABEL ISDELL"," ""CLARABEL ISDELL McDONALD""", Albertville,34.2676,-86.2089
"TAYLOR, ROBERT WOODDY"," ""ROBERT WOODDY TAYLOR""", Beatrice,31.7329,-87.2097
"VENABLE, AUSTIN LEWIS"," ""AUSTIN LEWIS VENABLE""", Wetumpka,32.5435,-86.2113
"BANKHEAD, TALLULAH BROCKMAN"," ""TALLULAH BROCKMAN BANKHEAD""", Huntsville,34.7304,-86.5861
"BOOZER, CELINA LUZANNE"," ""CELINA LUZANNE BOOZER""", Anniston,33.6598,-85.8316
"BRISTOW, GWEN"," ""GWEN BRISTOW""", Marion,32.6329,-87.3192
"BUNCE, WILLIAM HARVEY"," ""WILLIAM HARVEY BUNCE""", Florence,34.7998,-87.6773
"CASEY, ALBERT EUGENE"," ""ALBERT EUGENE CASEY""", Powell,34.5335,-85.8922
"CLEMMONS, GERTRUDE ALEXANDER"," ""GERTRUDE ALEXANDER CLEMMONS""", Dora,33.7282,-87.0864
"CROW, MATTIE LOU TEAGUE"," ""MATTIE LOU TEAGUE CROW""", Ashville,33.8357,-86.2561
"DURR, VIRGINIA HEARD FOSTER"," ""VIRGINIA HEARD FOSTER DURR""", Birmingham,33.5186,-86.8104
"HOOLE, WILLIAM STANLEY"," ""WILLIAM STANLEY HOOLE""", Eva,34.3243,-86.7458
"LEE, LAWRENCE HAYWOOD JR."," ""LAWRENCE HAYWOOD LEE JR.""", Gadsden,34.0143,-86.0066
"MAY, AGNES"," ""AGNES MAY""", Marshall County,34.3223,-86.4997
"McCANN, FRANKLIN THRESHER"," ""FRANKLIN THRESHER McCANN""", Dayton,32.3382,-87.6372
"MEEKS, LILLIAN FORT"," ""LILLIAN FORT MEEKS""", Dallas County,32.3545,-87.1183
"PARKS, JOSEPH HOWARD"," ""JOSEPH HOWARD PARKS""", Berry,33.6629,-87.5986
"STRONG, HERMAN E."," ""HERMAN E. STRONG""", Columbia,31.2929,-85.1114
"BARRETT, LINTON LOMAS"," ""LINTON LOMAS BARRETT""", Lanett,32.8682,-85.1842
"BOATWRIGHT, RUTH FOREMAN"," ""RUTH FOREMAN BOATWRIGHT""", Thomasville,31.9135,-87.7358
"BROOKINS, DEWEY C."," ""DEWEY C. BROOKINS""", Dothan,31.2232,-85.3905
"CHASE, RICHARD"," ""RICHARD CHASE""", Florence,34.7998,-87.6773
"COLEMAN, WADE HAMPTON JR."," ""WADE HAMPTON COLEMAN JR.""", Jackson,31.5082,-87.8942
"CRENSHAW, HERVEY FILES JR."," ""HERVEY FILES CRENSHAW JR.""", Montgomery,32.3792,-86.3077
"ELLISON, RHODA COLEMAN"," ""RHODA COLEMAN ELLISON""", Centre,34.1523,-85.6783
"FENDLEY, ERIN LIVINGSTON"," ""ERIN LIVINGSTON FENDLEY""", Livingston,32.5843,-88.1872
"GRANTHAM, DIXIE LOUISE"," ""DIXIE LOUISE GRANTHAM""", Greensboro,32.7043,-87.5958
"HARE, FRANCIS HUTCHESON"," ""FRANCIS HUTCHESON HARE""", Morris,33.7479,-86.6742
"HAYES, JOSEPH CLAUDE"," ""JOSEPH CLAUDE HAYES""", Ozark,31.459,-85.64
"HENDERSON, ELBERT CALVIN"," ""ELBERT CALVIN HENDERSON""", Glenwood,31.6629,-86.1758
"HILL, HENRIETTA FONTAINE McCORMICK"," ""HENRIETTA FONTAINE McCORMICK HILL""", Eufaula,31.8918,-85.1455
"HILL, ROBERT McCLELLAN"," ""ROBERT McCLELLAN HILL""", Birmingham,33.5186,-86.8104
"JENKINS, FLORENCE SMITH"," ""FLORENCE SMITH JENKINS""", Selma,32.4074,-87.0211
"KING, SPENCER BIDWELL"," ""SPENCER BIDWELL KING""", Birmingham,33.5186,-86.8104
"LONG, LILLIAN CAMPBELL PROUT"," ""LILLIAN CAMPBELL PROUT LONG""", Demopolis,32.5174,-87.8369
"MANCILL, JULIAN DOSSY"," ""JULIAN DOSSY MANCILL""", Escambia County,31.1256,-87.1598
"MANN, ROBERT NEVILLE"," ""ROBERT NEVILLE MANN""", DeKalb County,34.4599,-85.8074
"McWHORTER, CHARLES COKER"," ""CHARLES COKER McWHORTER""", Coker,33.2418,-87.6792
"THOMAS, DANIEL HARRISON"," ""DANIEL HARRISON THOMAS""", Margaret,33.6829,-86.4742
"TUCKER, EARL LEE"," ""EARL LEE TUCKER""", Thomasville,31.9135,-87.7358
"WILLIAMS, CLANTON WARE"," ""CLANTON WARE WILLIAMS""", Clanton,32.8387,-86.6294
"BERRY, EVA BELLE"," ""EVA BELLE BERRY""", Madison,34.6993,-86.7483
"COOK, ROBERT DANE"," ""ROBERT DANE COOK""", Gardendale,33.6601,-86.8122
"FORT, WILLIAM EDWARDS JR."," ""WILLIAM EDWARDS FORT JR.""", Birmingham,33.5186,-86.8104
"HOLLOWAY, LUCY ARIEL WILLIAMS"," ""LUCY ARIEL WILLIAMS HOLLOWAY""", Mobile,30.6954,-88.0399
"JENKINS, WILLIAM HARRISON"," ""WILLIAM HARRISON JENKINS""", Decatur,34.6059,-86.9833
"LOGUE, PAULINE McLEOD"," ""PAULINE McLEOD LOGUE""", Bay Minette,30.8829,-87.773
"MAYFIELD, SARA"," ""SARA MAYFIELD""", Tuscaloosa,33.2098,-87.5692
"MILEY, L. DON"," ""L. DON MILEY""", Hillsboro,34.6382,-87.1772
"SULZBY, JAMES FREDERICK JR."," ""JAMES FREDERICK SULZBY JR.""", Birmingham,33.5186,-86.8104
"TOWER, JAMES ALLEN"," ""JAMES ALLEN TOWER""", Northport,33.229,-87.5772
"WEAVER, HERBERT"," ""HERBERT WEAVER""", Brewton,31.1054,-87.0722
"WINDHAM, AMASA BENJAMIN"," ""AMASA BENJAMIN WINDHAM""", Gordo,33.3218,-87.9036
"BRANTLEY, MARY E."," ""MARY E. BRANTLEY""", Brantley,31.5843,-86.2586
"BRITTIN, NORMAN AYLSWORTH"," ""NORMAN AYLSWORTH BRITTIN""", Florence,34.7998,-87.6773
"COOPER, WELDON"," ""WELDON COOPER""", Jackson,31.5082,-87.8942
"DUNN, FLOYD R."," ""FLOYD R. DUNN""", Winston County,34.1455,-87.3667
"FIDLER, WILLIAM PERRY"," ""WILLIAM PERRY FIDLER""", Birmingham,33.5186,-86.8104
"JOHNSTONE, KATHLEEN YERGER"," ""KATHLEEN YERGER JOHNSTONE""", Mobile,30.6954,-88.0399
"MELLOWN, BENNIE CATHERINE"," ""BENNIE CATHERINE MELLOWN""", Birmingham,33.5186,-86.8104
"SCRUGGS, JOSIAH HUBERT JR."," ""JOSIAH HUBERT SCRUGGS JR.""", Birmingham,33.5186,-86.8104
"BRINKLEY, IDALEA CROCKER"," ""IDALEA CROCKER BRINKLEY""", Twin,33.9135,-87.5564
"BURNS, CRANFORD HERMAN"," ""CRANFORD HERMAN BURNS""", Cullman,34.1748,-86.8436
"BUSBY, ROSA LEE"," ""ROSA LEE BUSBY""", Birmingham,33.5186,-86.8104
"CONSTANCE, KATE W."," ""KATE W. CONSTANCE""", Mobile,30.6954,-88.0399
"DeJARNETTE, DAVID LLOYD"," ""DAVID LLOYD DeJARNETTE""", Bessemer,33.4018,-86.9544
"GILMORE, EDDY LANIER KING"," ""EDDY LANIER KING GILMORE""", Selma,32.4074,-87.0211
"HANLIN, KATHERINE HALE"," ""KATHERINE HALE HANLIN""", Birmingham,33.5186,-86.8104
"HARRISON, KARL C."," ""KARL C. HARRISON""", Columbia,31.2929,-85.1114
"HEARN, CHARLES AUBREY"," ""CHARLES AUBREY HEARN""", Albertville,34.2676,-86.2089
"JOHNSON, SAMUEL LAWRENCE"," ""SAMUEL LAWRENCE JOHNSON""", Florence,34.7998,-87.6773
"JOHNSTON, GEORGE BURKE"," ""GEORGE BURKE JOHNSTON""", Tuscaloosa,33.2098,-87.5692
"KERNODLE, GEORGE RILEY"," ""GEORGE RILEY KERNODLE""", Camp Hill,32.8001,-85.6536
"LYLE, IDALEE M."," ""IDALEE M. LYLE""", Goodwater,33.0635,-86.0536
"McMILLAN, JAMES BENJAMIN"," ""JAMES BENJAMIN McMILLAN""", Talladega,33.4359,-86.1
"SLAYDEN, THELMA THOMSON"," ""THELMA THOMSON SLAYDEN""", Ashland,33.2715,-85.8369
"THOMPSON, WESLEY SYLVESTER"," ""WESLEY SYLVESTER THOMPSON""", Marion,32.6329,-87.3192
"WALKER, ALYCE BILLINGS"," ""ALYCE BILLINGS WALKER""", Birmingham,33.5186,-86.8104
"WICKS, CHARLES BEAUMONT"," ""CHARLES BEAUMONT WICKS""", Eva,34.3243,-86.7458
"ABERNETHY, THOMAS YOUNG"," ""THOMAS YOUNG ABERNETHY""", Brookwood,33.2568,-87.3208
"BAKER, OLA GRACE"," ""OLA GRACE BAKER""", Lamar County,33.7806,-88.0934
"BONNER, CLINT"," ""CLINT BONNER""", Lineville,33.3101,-85.7542
"COATS, FLORINE"," ""FLORINE COATS""", Harpersville,33.3457,-86.4386
"EVANS, ZELIA STEPHENS"," ""ZELIA STEPHENS EVANS""", Wetumpka,32.5435,-86.2113
"FINN, SIDNEY BERNARD"," ""SIDNEY BERNARD FINN""", Gordo,33.3218,-87.9036
"FREEMAN, RICHARD BORDEN"," ""RICHARD BORDEN FREEMAN""", Jackson,31.5082,-87.8942
"FRYE, WILLIAM FENNER JR."," ""WILLIAM FENNER FRYE JR.""", Montgomery,32.3792,-86.3077
"JOHNSTON, HENRY POELLNITZ"," ""HENRY POELLNITZ JOHNSTON""", Union,32.9368,-87.5122
"LUSKIN, JOHN"," ""JOHN LUSKIN""", Valley,32.8182,-85.1792
"MACON, LEON MEERTIEF"," ""LEON MEERTIEF MACON""", Clarke County,31.6804,-87.8357
"McKINNEY, JOHN WILLIAM"," ""JOHN WILLIAM McKINNEY""", Greenville,31.8293,-86.6172
"McMURRAY, JAMES MAX"," ""JAMES MAX McMURRAY""", Roanoke,33.1518,-85.3722
